City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
264,Portobelo,PA,2021-06-11 20:41:05,9.55,-79.65,85.96,76,68,8.05
265,Carupano,VE,2021-06-11 20:41:06,10.6678,-63.2585,82.85,71,64,12.19
266,Marsa Matruh,EG,2021-06-11 20:41:06,31.3525,27.2453,71.8,83,40,8.05
267,Port Lincoln,AU,2021-06-11 20:41:07,-34.7333,135.8667,51.75,83,87,7.09
268,Namatanai,PG,2021-06-11 20:39:14,-3.6667,152.4333,79.92,80,10,9.62
269,Selfoss,IS,2021-06-11 20:41:07,63.9331,-20.9971,47.28,61,18,20.38
270,Durban,ZA,2021-06-11 20:41:08,-29.8579,31.0292,63.01,92,0,4.0
271,Batemans Bay,AU,2021-06-11 20:41:08,-35.7167,150.1833,52.2,66,71,8.86
272,Opalenica,PL,2021-06-11 20:41:09,52.3089,16.4128,65.91,74,56,0.25
273,Flinders,AU,2021-06-11 20:41:09,-34.5833,150.8552,54.68,65,0,5.99
274,Shingu,JP,2021-06-11 20:41:10,33.7333,135.9833,71.91,90,100,3.18
275,Tual,ID,2021-06-11 20:41:10,-5.6667,132.75,81.61,81,51,17.25
276,Dakar,SN,2021-06-11 20:36:55,14.6937,-17.4441,83.28,78,0,4.61
277,Nizhnevartovsk,RU,2021-06-11 20:41:11,60.9344,76.5531,59.02,63,0,6.71
278,Halifax,CA,2021-06-11 20:37:13,44.6453,-63.5724,63.41,53,91,3.0
279,Mareeba,AU,2021-06-11 20:41:12,-17.0,145.4333,66.92,92,90,2.28
280,Grindavik,IS,2021-06-11 20:41:12,63.8424,-22.4338,44.55,56,40,31.07
281,Tynda,RU,2021-06-11 20:41:13,55.1667,124.7167,53.94,88,44,1.1
282,Hualmay,PE,2021-06-11 20:41:13,-11.0964,-77.6139,67.55,76,20,9.95
283,Meulaboh,ID,2021-06-11 20:41:14,4.1363,96.1285,76.89,87,100,4.38
284,Paralimni,CY,2021-06-11 20:41:14,35.0375,33.9833,72.48,77,0,3.0
285,Ust-Kuyga,RU,2021-06-11 20:41:15,70.0167,135.6,61.48,42,95,7.29
286,La Asuncion,VE,2021-06-11 20:41:15,11.0333,-63.8628,85.73,66,96,18.41
287,Klyuchi,RU,2021-06-11 20:41:15,52.2667,79.1667,47.98,67,35,7.43
288,Madras,IN,2021-06-11 20:38:55,13.0878,80.2785,85.98,78,40,5.01
289,Reforma,MX,2021-06-11 20:41:16,18.1,-91.0167,89.49,53,92,7.58
290,Salalah,OM,2021-06-11 20:37:30,17.0151,54.0924,84.29,89,40,8.05
291,Sorong,ID,2021-06-11 20:37:22,-0.8833,131.25,78.22,88,96,8.72
292,Pitimbu,BR,2021-06-11 20:41:17,-7.4706,-34.8086,79.39,81,16,11.7
293,Anderson,US,2021-06-11 20:40:25,34.5334,-82.6499,88.36,67,40,1.99
294,Coos Bay,US,2021-06-11 20:41:18,43.3665,-124.2179,59.23,90,90,10.36
