City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
341,bonthe,SL,7.5264,-12.505,78.22,82,99,2.06,overcast clouds
342,great yarmouth,GB,52.6083,1.7305,61.05,87,100,9.13,overcast clouds
343,kargat,RU,55.1956,80.2811,58.03,50,95,9.08,overcast clouds
344,kamsack,CA,51.5667,-101.9009,59.45,95,100,18.37,overcast clouds
345,vestmannaeyjar,IS,63.4427,-20.2734,40.98,63,1,26.28,clear sky
346,waipawa,NZ,-41.4122,175.5153,56.03,80,52,3.85,broken clouds
347,sibu,MY,2.3,111.8167,84.51,70,40,5.01,scattered clouds
348,doaba,PK,33.4244,70.7364,94.28,20,0,5.99,clear sky
349,samarai,PG,-10.6167,150.6667,82.65,79,23,13.06,few clouds
350,vanimo,PG,-2.6741,141.3028,85.73,64,7,10.2,clear sky
351,aleksandrov gay,RU,50.147,48.5704,68.2,73,38,3.65,scattered clouds
352,mackay,AU,-21.15,149.2,76.68,64,40,11.5,scattered clouds
353,aitape,PG,-3.1374,142.3475,85.98,65,7,9.86,clear sky
354,port lincoln,AU,-34.7333,135.8667,59.02,56,100,6.02,overcast clouds
355,labuhan,ID,-6.8844,112.2051,87.53,61,19,6.96,few clouds
356,san quintin,MX,30.4833,-115.95,69.44,87,15,12.86,few clouds
357,malanje,AO,-9.5402,16.341,55.85,46,4,4.81,clear sky
